group,metric,variant,source_group,source_variant,global_step,mean,std,stderr,ci95_low,ci95_high,seed_count,available_seed_count,min_seed_value,max_seed_value,step_bin,shared_start_step,shared_end_step
framework_ablation,episodic_return_mean,SERPPO,framework_ablation,SERPPO,65536,-111.70055668959522,7.5880589131088385,2.399554918496563,-116.40368432984847,-106.99742904934196,10,10,-123.26246334310851,-97.50839694656489,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO,framework_ablation,SERPPO,131072,-106.76765282373348,5.724788661867049,1.81033712946074,-110.31591359747654,-103.21939204999043,10,10,-117.68575624082231,-97.6140625,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO,framework_ablation,SERPPO,196608,-108.71294633058785,4.187073845271825,1.3240690082378404,-111.30812158673402,-106.11777107444169,10,10,-115.54925373134328,-99.7673343605547,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noPD,framework_ablation,SERPPO-noPD,65536,-111.70055668959522,7.5880589131088385,2.399554918496563,-116.40368432984847,-106.99742904934196,10,10,-123.26246334310851,-97.50839694656489,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noPD,framework_ablation,SERPPO-noPD,131072,-108.64377683674198,5.320169457840336,1.6823853024838613,-111.94125202961034,-105.34630164387362,10,10,-115.2005772005772,-97.32375189107412,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noPD,framework_ablation,SERPPO-noPD,196608,-106.31806131067836,8.728345191974306,2.760145101081843,-111.72794570879877,-100.90817691255795,10,10,-115.38187221396731,-88.76947040498442,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noAM,framework_ablation,SERPPO-noAM,65536,-105.23183384669935,6.4422554186671,2.037220039154966,-109.22478512344308,-101.2388825699556,10,10,-116.87847730600294,-94.850863422292,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noAM,framework_ablation,SERPPO-noAM,131072,-104.58644817739689,6.252146690205436,1.9771023806532322,-108.46156884347722,-100.71132751131655,10,10,-114.61087267525036,-96.71516079632465,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noAM,framework_ablation,SERPPO-noAM,196608,-103.48119340599533,5.211130633404402,1.6479041986233836,-106.71108563529715,-100.2513011766935,10,10,-113.02840059790732,-96.48648648648648,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noBO,framework_ablation,SERPPO-noBO,65536,-109.97020466578866,5.467569614820232,1.728997324836145,-113.3590394224675,-106.58136990910981,10,10,-118.20501474926253,-102.32781954887218,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noBO,framework_ablation,SERPPO-noBO,131072,-106.67376118964413,8.185609618531348,2.588517043154109,-111.74725459422618,-101.60026778506207,10,10,-122.1067821067821,-94.19846153846154,65536,65536,196608
framework_ablation,episodic_return_mean,SERPPO-noBO,framework_ablation,SERPPO-noBO,196608,-103.82447778843371,8.822711569700072,2.789986369897163,-109.29285107343215,-98.35610450343528,10,10,-120.80701754385964,-90.04179104477612,65536,65536,196608
