group,metric,variant,source_group,source_variant,global_step,mean,std,stderr,ci95_low,ci95_high,seed_count,available_seed_count,min_seed_value,max_seed_value,step_bin,shared_start_step,shared_end_step
obstacle_representation,episodic_return_mean,SERPPO-L,framework_ablation,SERPPO,65536,-111.70055668959522,7.5880589131088385,2.399554918496563,-116.40368432984847,-106.99742904934196,10,10,-123.26246334310851,-97.50839694656489,65536,65536,196608
obstacle_representation,episodic_return_mean,SERPPO-L,framework_ablation,SERPPO,131072,-106.76765282373348,5.724788661867049,1.81033712946074,-110.31591359747654,-103.21939204999043,10,10,-117.68575624082231,-97.6140625,65536,65536,196608
obstacle_representation,episodic_return_mean,SERPPO-L,framework_ablation,SERPPO,196608,-108.71294633058785,4.187073845271825,1.3240690082378404,-111.30812158673402,-106.11777107444169,10,10,-115.54925373134328,-99.7673343605547,65536,65536,196608
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,8192,-106.13924622491167,16.80012743071055,5.312666766211796,-116.55207308668679,-95.72641936313656,10,10,-125.5,-68.98648648648648,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,16384,-107.82156557786134,19.74900751742651,6.245184528285523,-120.06212725330096,-95.58100390242171,10,10,-130.34831460674158,-80.0,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,24576,-105.88703077491691,17.11585646320522,5.412509052824243,-116.49554851845242,-95.2785130313814,10,10,-137.96470588235294,-87.07594936708861,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,32768,-108.30362064771728,15.175413306230137,4.798887048211353,-117.70943926221153,-98.89780203322303,10,10,-121.90217391304348,-76.34146341463415,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,40960,-99.10274837430258,14.589783669812755,4.61369469657383,-108.14558997958729,-90.05990676901787,10,10,-119.44578313253012,-76.82926829268293,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,49152,-102.16600603950249,15.959845285370228,5.046946220566991,-112.05802063181379,-92.2739914471912,10,10,-121.73493975903614,-76.8125,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,57344,-107.20138193144885,14.453664631976828,4.570650077326614,-116.15985608300902,-98.24290777988868,10,10,-130.29885057471265,-83.0632911392405,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,65536,-100.72090618719746,18.23975625204213,5.767917372274935,-112.02602423685633,-89.41578813753858,10,10,-132.8953488372093,-74.95061728395062,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,73728,-104.50751737138076,18.265127418031135,5.77594043941688,-115.82836063263784,-93.18667411012368,10,10,-132.92307692307693,-65.87012987012987,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,81920,-98.69045536306768,20.84621728043337,6.592152720493046,-111.61107469523405,-85.76983603090132,10,10,-136.57471264367817,-57.95180722891566,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,90112,-97.76252599455051,19.94809204281827,6.308140582998682,-110.12648153722793,-85.3985704518731,10,10,-122.19354838709677,-52.75,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,98304,-95.65707247890185,16.160490706862497,5.110395873966997,-105.67344839187717,-85.64069656592653,10,10,-119.80681818181819,-63.4625,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-M,obstacle_representation,SERPPO-M,106496,-98.84007593988017,17.934712963098093,5.671454214473734,-109.95612620024869,-87.72402567951164,10,10,-128.66304347826087,-78.32051282051282,8192,8192,106496
obstacle_representation,episodic_return_mean,SERPPO-noBO,framework_ablation,SERPPO-noBO,65536,-109.97020466578866,5.467569614820232,1.728997324836145,-113.3590394224675,-106.58136990910981,10,10,-118.20501474926253,-102.32781954887218,65536,65536,196608
obstacle_representation,episodic_return_mean,SERPPO-noBO,framework_ablation,SERPPO-noBO,131072,-106.67376118964413,8.185609618531348,2.588517043154109,-111.74725459422618,-101.60026778506207,10,10,-122.1067821067821,-94.19846153846154,65536,65536,196608
obstacle_representation,episodic_return_mean,SERPPO-noBO,framework_ablation,SERPPO-noBO,196608,-103.82447778843371,8.822711569700072,2.789986369897163,-109.29285107343215,-98.35610450343528,10,10,-120.80701754385964,-90.04179104477612,65536,65536,196608
